09/20/19,Engineering Physics
09/20/19,Engineering Drawing1
09/20/19,Engineering Mathematics-I
09/20/19,Electrical Science
09/20/19,Communicative English
09/20/19,Professional Ethics
09/20/19,WorkShop
09/20/19,Practical-Engineering Physics G1
09/20/19,Practical-Engineering Drawing1 G1
09/20/19,Practical-Professional Ethics G1
09/20/19,Practical-WorkShop G1
09/20/19,Practical-Engineering Physics G2
09/20/19,Practical-Engineering Drawing1 G2
09/20/19,Practical-Professional Ethics G2
09/20/19,Practical-WorkShop G2
09/20/19,Practical-Professional Ethics G2
