09/20/19,Industrial Design of Electronic Equipment
09/20/19,Microcontroller & Peripherals
09/20/19,Digital System Design
09/20/19,Printed Circuit Board Technology-I
09/20/19,Signal and Systems
09/20/19,Elective-II(ObjC++ Programming or Embedded c)
09/20/19,Industrial training visit internship
09/20/19,Practical-Industrial Design of Electronic Equipment G1
09/20/19,Practical-Microcontroller &Peripherals G1
09/20/19,Practical-Digital System Design G1
09/20/19,Practical-Printed Circuit Board Technology-I G1
09/20/19,Practical-Industrial training visit internship G1
09/20/19,Practical-Industrial Design of Electronic Equipment G2
09/20/19,Practical-Microcontroller &Peripherals G2
09/20/19,Practical-Digital System Design G2
09/20/19,Practical-Printed Circuit Board Technology-I G2
09/20/19,Practical-Industrial training visit internship G2
