09/20/19,Digital Signal Processing
09/20/19,Embedded Systems
09/20/19,PLD and FPGA Design
09/20/19,Data Communication Network
09/20/19,Project Part I
09/20/19,Elective III (Opto Electronics or Digital image processing)
09/20/19,Practical-Digital Signal Processing G1
09/20/19,Practical-Embedded Systems G1
09/20/19,Practical-PLD and FPGA Design G1
09/20/19,Practical-Data Communication Network G1
09/20/19,Practical-Project Part I G1
09/20/19,Practical-Digital Signal Processing G2
09/20/19,Practical-Embedded Systems G2
09/20/19,Practical-PLD and FPGA Design G2
09/20/19,Practical-Data Communication Network G2
09/20/19,Practical-Project Part I G2
