09/20/19,Power Electronics-I
09/20/19,Measurement &Instrumentation
09/20/19,Computer programming C
09/20/19,Electronics Systems Engineering
09/20/19,Engineering Mathematics-III
09/20/19,General Elective-I(Commerce or Management)
09/20/19,Practical-Power Electronics-I G1
09/20/19,Practical-Measurement &Instrumentation G1
09/20/19,Practical-Computer programming C
09/20/19,Practical-Electronics Systems Engineering G1
09/20/19,Practical-Power Electronics-I G2
09/20/19,Practical-Measurement &Instrumentation G2
09/20/19,Practical-Computer programming C
09/20/19,Practical-Electronics Systems Engineering G2
09/20/19,Practical-Electronics Systems Engineering G2
