09/20/19,Digital Electronic Circuits,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,A,P,A,A,A,A,A,A
09/20/19,Linear Electrical Networks
09/20/19,Analog Electronic Circuits
09/20/19,Engineering Mathematics-II
09/20/19,Engineering Chemistry
09/20/19,Engineering Mechanics
09/20/19,Engineering drawing II
09/20/19,Practical-Digital Electronic Circuits G1
09/20/19,Practical-Linear Electrical Networks G1
09/20/19,Practical-Analog Electronic Circuits G1
09/20/19,Practical-Engineering drawing II G1
09/20/19,Practical-Digital Electronic Circuits G2
09/20/19,Practical-Linear Electrical Networks G2
09/20/19,Practical-Analog Electronic Circuits G2
09/20/19,Practical-Engineering drawing II G2
09/20/19,Practical-Analog Electronic Circuits G2
